label,id,NoneField,sentence1,sentence2
0,2112937,2113133,"""This is an easy case in my view and wholly without merit, both factually and legally.""","""This case is wholly without merit, both factually and legally,"" Judge Denny Chin scoffed."
1,411079,411090,"Started on Christmas Day in 1931, the Met's matinee broadcasts have introduced opera to millions of people around the world.","Started on Christmas Day in 1931 with Humperdinck's ""Hansel and Gretel,"" the Met matinee broadcasts have introduced opera to millions of people around the world."
0,191147,190926,"Lacy's last column, filed from the hospital, appeared in Friday's editions.",Lacy's last column appeared in Friday's edition of The Afro.
1,2124302,2124451,"Druce is still being held at the prison and is now in isolation, she said.",Druce last night was held in isolation at the same prison.
1,2375776,2375807,"The victims were not identified, although authorities said at least one of the bodies had been there about a year.","The two victims buried in the yard were not identified, though authorities said at least one has been there about a year."
1,3117712,3117462,"When ex-Mepham head coach Kevin McElroy walked into the court to testify, some of the victims' supporters turned their backs on him.","When varsity coach Kevin McElroy walked into the courthouse with his attorney, the crowd turned their backs on him."
1,2421566,2421460,"Researchers found the fossils in a semidesert area of Venezuela, about 250 miles west of Caracas.","Phoberomys' skeleton was unearthed 250 miles west of Caracas, Venezuela."
0,2641995,2641936,"Mr Pollard said: ""This is a terrible personal tragedy and a shocking blow for James's family.","Nick Pollard, the head of Sky News said: ""This is a shocking blow for James's family."
0,1729704,1729744,The results beat the 54 cents loss per share consensus estimate of 23 analysts polled by Thomson First Call.,"Analysts had been expecting a net loss of 54 cents a share, according to Thomson First Call."
1,278149,278365,"""This is my sweatshirt which my brother Jaafar used to borrow from me all the time,"" said Mekki.","One villager, Ali Mekki, said: ""This is my sweatshirt which my brother Jaafar used to borrow from me all the time."""
1,610530,610589,"""The steps that the Iranians claim to have taken in terms of capturing al-Qaida are insufficient,"" said Ari Fleischer, the White House press secretary.","""The steps that the Iranians claim to have taken in terms of capturing al-Qaeda are insufficient,"" Fleischer said."
1,1958143,1958023,"The blue-chip Dow Jones industrial average .DJI added 38 points, or 0.42 percent, to 9,165.","The Dow Jones Industrial Average [$INDU] ended at session highs, gaining 64.64 points, or 0.7 percent, to 9,191.09."
1,2081791,2081773,"On Thursday, Long heard arguments from both sides.",Judge Elizabeth Long heard arguments in the state case Thursday.
1,1929176,1929167,"The Episcopal Church ''is alienating itself from the Anglican Communion,'' said the Very Rev. Peter Karanja, provost of the All Saints Cathedral, in Nairobi.","In Nairobi, the provost of All Saints Cathedral, the Very Reverend Peter Karanja, said the US Episcopal Church was alienating itself from the Anglican Communion."
0,830829,830805,The Johnson-Lewis fight was to be the main event of a boxing doubleheader at the Staples Center in Los Angeles.,"With Johnson's injury, the fight card at the Staples Center in Los Angeles is in question."
1,1643243,1643049,Blair's government included the charge that Saddam sought uranium from Niger in a September 2002 dossier setting out the case for military action.,Britain included the accusation in a September 2002 dossier setting out the case for war in Iraq.
1,1748344,1748330,"Ms. Cripps-Prawak left last Friday, two days after the department introduced a plan to distribute medical marijuana through doctors' offices.","The director of the Office of Medical Access, Cindy Cripps-Prawak, left her job after the department introduced a plan to distribute marijuana through doctors' offices."
1,284891,284925,"""We're going to do everything in our power to get money back to ratepayers as quickly as possible,"" Kennedy said.","""There's very strong interest in getting money back to the ratepayers as quickly as possible,"" Commissioner Susan Kennedy said."
1,986604,986929,The warning was the most serious the 15-nation bloc has sent Iran since they began negotiating a trade and cooperation agreement late last year.,It would be most serious warning since the 15-nation bloc has sent Iran since they began negotiating a trade and cooperation agreement late last year.
1,786949,786522,Grassley and Baucus rejected any disparity in drug benefits.,Grassley and Baucus said they had rejected that approach in their plan.
1,2493378,2493420,"The last time the S&P had a larger one-day point loss was also May 19, when it gave back 23.53 to close at 920.77.","The last time it had a larger one-day loss was July 1, 2002, when it shed 59.41 to close at 1,403.80."
1,2357099,2357114,Consumers still would have to get a descrambling security card from their cable operator to plug into the set.,"To watch pay television, consumers would insert into the set a security card provided by their cable service."
1,3207968,3208048,"""If we could do that throughout the world, we could end terrorism,"" he said.","This is a hospital that treats everybody as people, and if we could do that throughout the world, we could end terrorism."""
1,774520,774298,The MDC called the strike to force Mr Mugabe to either resign or negotiate a settlement of the Zimbabwe crisis.,The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country.
1,636412,636322,"As planned, the services will be rolled into Yukon when it ships (see story).","The reporting services will also be rolled into Yukon as planned, sources said."
0,1639471,1639562,"The Sunshine Group LTD represented the developers, The Related Companies and Apollo Real Estate Advisors LP, on the deal.","The developers, The Related Cos. and Apollo Real Estate Advisors, hope sales top $1 billion."
1,3201393,3200966,"After posting $3 million bail, Jackson flew to Las Vegas, where he had been working on a video.","Since posting a $3 million bond, Jackson has been keeping a low profile in Las Vegas, where he had been filming a music video."
1,2384647,2384724,"This comes at a time when Alba is expanding its aluminium output by 307,000 tonnes a year and is accelerating plans for another 307,000 tonnes-a-year increase.","That comes as Alba is lifting its aluminium output by 307,000 tonnes a year and accelerating plans for another 307,000 tonnes-a-year increase."
0,1924472,1924385,"Captain Robert Ramsey of the US 1st Armoured Division said a truck had exploded outside the building about 11am, and that one of the compound's outer walls had collapsed.",Captain Robert Ramsey of US 1St Armored Division said a truck had exploded outside the building at around 11 am.
1,318215,318353,"We feel so strongly about this issue that we are suspending sales and distribution of SCOLinux until these issues are resolved,"" Sontag said.","We feel so strongly about this issue that we are suspending sales and distribution of SCO Linux until these issues are resolved."""
